Date, Open, High, Low, Close
11/07/12, 1236.19, 1236.19, 1212.64, 1219.84
11/06/12, 1236.86, 1259.74, 1236.09, 1254.89
11/05/12, 1222.52, 1234.68, 1221.79, 1233.14
11/02/12, 1243.71, 1248.57, 1220.07, 1225.23
11/01/12, 1230.32, 1241.79, 1228.07, 1239.65
10/31/12, 1235.85, 1241.41, 1222.88, 1228.79
10/26/12, 1224.95, 1233.62, 1220.58, 1227.38
10/25/12, 1227.82, 1228.28, 1212.01, 1226.10
10/24/12, 1219.35, 1224.25, 1211.66, 1214.15
10/23/12, 1235.73, 1235.73, 1206.67, 1214.97
10/22/12, 1252.21, 1254.85, 1234.72, 1247.32
10/19/12, 1269.61, 1270.44, 1247.45, 1252.08
10/18/12, 1268.63, 1276.34, 1266.45, 1269.37
10/17/12, 1263.57, 1276.86, 1263.57, 1274.60
10/16/12, 1244.61, 1259.70, 1242.87, 1257.96
10/15/12, 1229.97, 1235.93, 1219.58, 1234.48
10/12/12, 1234.58, 1237.01, 1221.68, 1229.69
10/11/12, 1239.90, 1247.73, 1235.37, 1235.37
10/10/12, 1254.59, 1254.59, 1229.49, 1231.63
10/09/12, 1259.11, 1266.39, 1254.53, 1254.59
10/08/12, 1254.07, 1260.22, 1251.96, 1258.75
10/05/12, 1262.80, 1273.34, 1257.32, 1260.29
10/04/12, 1252.49, 1264.51, 1251.86, 1262.80
10/03/12, 1262.00, 1262.00, 1244.52, 1248.99
10/02/12, 1267.54, 1270.29, 1257.52, 1264.08
10/01/12, 1258.11, 1273.60, 1258.11, 1263.46
09/28/12, 1258.20, 1260.40, 1249.60, 1258.11
09/27/12, 1257.07, 1268.69, 1254.12, 1266.83
09/26/12, 1260.05, 1261.10, 1249.59, 1253.10
09/25/12, 1280.71, 1282.86, 1264.05, 1264.62
09/24/12, 1277.12, 1281.02, 1271.11, 1276.97
09/21/12, 1285.61, 1288.18, 1280.43, 1281.32
09/20/12, 1270.63, 1283.24, 1262.54, 1280.71
09/19/12, 1287.46, 1287.72, 1279.12, 1279.30
09/18/12, 1293.39, 1296.19, 1283.91, 1288.66
09/17/12, 1306.63, 1311.83, 1293.23, 1295.88
09/14/12, 1300.72, 1321.71, 1300.72, 1308.65
09/13/12, 1271.35, 1298.83, 1265.26, 1294.23
09/12/12, 1268.06, 1271.15, 1262.54, 1267.31
09/11/12, 1251.92, 1269.06, 1251.92, 1263.91
09/10/12, 1258.46, 1262.33, 1250.35, 1250.95
09/07/12, 1243.22, 1260.24, 1243.22, 1260.06
09/06/12, 1219.67, 1242.83, 1219.67, 1238.83
09/05/12, 1215.98, 1218.29, 1210.09, 1212.08
09/04/12, 1230.57, 1231.13, 1213.03, 1219.36
08/31/12, 1226.32, 1236.92, 1224.42, 1229.57
08/30/12, 1225.42, 1225.76, 1218.14, 1218.62
08/29/12, 1235.49, 1235.89, 1228.60, 1230.34
08/28/12, 1230.04, 1239.50, 1229.20, 1236.06
08/27/12, 1232.72, 1237.73, 1227.97, 1229.67
08/24/12, 1222.46, 1233.21, 1216.54, 1231.09
08/23/12, 1233.95, 1236.15, 1224.76, 1225.59
08/22/12, 1229.91, 1239.16, 1225.81, 1237.47
08/21/12, 1240.60, 1246.72, 1231.77, 1234.04
08/20/12, 1236.62, 1240.52, 1232.60, 1238.79
08/17/12, 1245.14, 1245.14, 1235.91, 1238.06
08/16/12, 1234.50, 1245.87, 1232.62, 1244.40
08/15/12, 1236.06, 1237.55, 1231.42, 1234.27
08/14/12, 1240.66, 1242.85, 1233.09, 1237.01
08/13/12, 1242.99, 1243.26, 1231.79, 1234.94
08/10/12, 1233.04, 1245.03, 1225.45, 1244.56
08/09/12, 1237.35, 1245.43, 1232.35, 1239.24
08/08/12, 1232.63, 1243.16, 1230.08, 1239.65
08/07/12, 1223.60, 1241.10, 1223.60, 1236.57
08/06/12, 1214.33, 1222.35, 1214.11, 1215.41
08/03/12, 1183.46, 1220.00, 1183.46, 1212.97
08/02/12, 1193.73, 1196.93, 1174.55, 1183.46
08/01/12, 1199.99, 1209.00, 1191.19, 1202.76
07/31/12, 1209.45, 1212.41, 1196.61, 1196.76
07/30/12, 1206.37, 1213.70, 1203.46, 1211.25
07/27/12, 1198.88, 1210.56, 1191.05, 1207.38
07/26/12, 1180.98, 1193.18, 1174.90, 1191.14
07/25/12, 1165.45, 1171.16, 1153.49, 1163.81
07/24/12, 1176.58, 1177.44, 1145.55, 1161.04
07/23/12, 1172.86, 1180.04, 1161.94, 1177.10
07/20/12, 1194.90, 1197.62, 1187.91, 1197.04
07/19/12, 1199.50, 1203.50, 1190.78, 1201.40
07/18/12, 1190.67, 1199.93, 1183.51, 1199.14
07/17/12, 1183.41, 1191.26, 1168.86, 1190.67
07/16/12, 1170.92, 1184.21, 1167.79, 1180.48
07/13/12, 1158.62, 1173.63, 1157.96, 1172.02
07/12/12, 1157.67, 1160.80, 1142.11, 1154.90
07/11/12, 1144.59, 1163.38, 1144.36, 1157.67
07/10/12, 1160.29, 1163.99, 1135.40, 1140.34
07/09/12, 1156.04, 1156.99, 1144.27, 1153.86
07/06/12, 1157.99, 1163.50, 1152.45, 1159.52
07/05/12, 1180.36, 1181.33, 1170.03, 1172.82
07/03/12, 1172.86, 1191.15, 1172.86, 1190.88
07/02/12, 1167.32, 1168.89, 1154.27, 1167.01
06/29/12, 1155.44, 1165.53, 1149.26, 1165.53
06/28/12, 1115.88, 1127.38, 1107.97, 1126.12
06/27/12, 1108.47, 1124.54, 1108.47, 1121.01
06/26/12, 1095.74, 1109.25, 1089.77, 1104.98
06/25/12, 1100.69, 1100.69, 1086.63, 1093.50
06/22/12, 1113.01, 1120.89, 1105.08, 1115.63
06/21/12, 1152.75, 1154.56, 1105.97, 1106.85
06/20/12, 1157.96, 1166.56, 1146.05, 1155.54
06/19/12, 1150.91, 1163.18, 1145.57, 1157.96
06/18/12, 1142.72, 1143.66, 1132.64, 1139.76
06/15/12, 1138.02, 1150.67, 1133.43, 1150.32
06/14/12, 1119.42, 1133.68, 1114.72, 1130.32
06/13/12, 1124.88, 1132.45, 1113.33, 1118.08
06/12/12, 1117.44, 1130.34, 1114.29, 1126.19
06/11/12, 1134.98, 1141.30, 1111.79, 1113.14
06/08/12, 1113.87, 1127.29, 1109.26, 1125.24
06/07/12, 1137.22, 1144.99, 1121.81, 1124.68
06/06/12, 1094.03, 1120.62, 1094.03, 1120.57
06/05/12, 1075.26, 1087.69, 1074.75, 1082.94
06/04/12, 1075.93, 1081.08, 1061.61, 1074.00
06/01/12, 1074.19, 1079.58, 1069.46, 1072.75
05/31/12, 1102.44, 1104.56, 1078.95, 1092.64
05/30/12, 1122.94, 1122.94, 1097.06, 1100.30
05/29/12, 1129.33, 1139.97, 1121.90, 1130.81
05/25/12, 1122.46, 1127.40, 1116.63, 1119.58
05/24/12, 1125.06, 1126.97, 1111.41, 1122.40
05/23/12, 1119.27, 1120.56, 1095.49, 1119.81
05/22/12, 1126.18, 1137.77, 1113.21, 1119.27
05/21/12, 1106.97, 1124.23, 1106.97, 1123.84
05/18/12, 1113.86, 1120.69, 1099.72, 1102.97
05/17/12, 1119.89, 1125.71, 1108.93, 1109.01
05/16/12, 1132.09, 1143.86, 1119.88, 1119.89
05/15/12, 1140.33, 1145.31, 1122.27, 1124.32
05/14/12, 1142.89, 1147.78, 1137.91, 1140.33
